"Response";"Pval";"Variable";"q2";"mean";"sd";"q1";"q3"
"1";"CWM_MaxLS";0.038;"(Intercept)";0.220538792472742;0.221632726035306;0.108189697947626;0.00871860872780589;0.440418655660867
"2";"CWM_MaxLS";0;"Aridity";-0.307367769543056;-0.306949867816596;0.0902316281148519;-0.47823149776833;-0.12316882093833
"3";"CWM_MaxLS";0;"I(Aridity^2)";-0.162192144279024;-0.161253798187411;0.0549424563673023;-0.268921504915564;-0.0589002023460409
"4";"CWM_MaxLS";0;"Grazing";-0.0901997616168119;-0.0900245725977096;0.0254095050190597;-0.140073216179219;-0.0419432675613741
"5";"CWM_MaxLS";0;"Woody";0.318492431115736;0.31842794613131;0.049135411643325;0.223047923074098;0.415043279643719
"6";"CWM_MaxLS";0;"MAT";0.373565252706052;0.373223625595377;0.0860790272140146;0.193876737932277;0.541004266046242
"7";"CWM_MaxLS";0.136;"I(MAT^2)";-0.0866783922841561;-0.0853794188509787;0.0587891902848363;-0.201413513842781;0.0283605165530925
"8";"CWM_MaxLS";0.192;"Lattitude";0.0932105355170523;0.0964108877558851;0.0779440385860224;-0.0510830918205693;0.249344678175919
"9";"CWM_MaxLS";0.666;"Long_cos";0.0332553448678342;0.0339733194999328;0.0739979458374001;-0.109763999864095;0.178164612993348
"10";"CWM_MaxLS";0.754;"Long_sin";-0.0245092019492729;-0.0234036468645163;0.0779353855919646;-0.184078792853616;0.124928508086778
"11";"CWM_MaxLS";0.658;"Elevation";0.0327460443107965;0.0343210982838949;0.0773009064504065;-0.111681322967973;0.185070546318089
"12";"Dev_MaxLS";0;"CWM_MaxLS";-0.477177951256797;-0.477530982059678;0.0524784153452286;-0.586644762072939;-0.380721835674923
"13";"Dev_MaxLS";0.028;"Aridity";0.0488941713893014;0.0489607103052986;0.0265567464982462;-0.00180588829664278;0.102371555608016
"14";"Dev_MaxLS";0.025;"Woody";-0.100885293056535;-0.0999221176344589;0.0463026698502744;-0.188683330727006;-0.0102966735659309
"15";"Dev_MaxLS";0.168;"Grazing";0.0430280991253029;0.0438484895426544;0.0336005269655332;-0.0225372137340896;0.110475664631034
"16";"Dev_MaxLS";0;"Lattitude";-0.196174204934099;-0.196375944890241;0.0385980477374756;-0.267282427609365;-0.119383160097054
"17";"Dev_MaxLS";0;"Long_cos";0.122364584804578;0.121227757785751;0.0373375411134338;0.0505657625231333;0.199548228083882
"18";"Dev_MaxLS";0.001;"Long_sin";0.0916944436421727;0.093006493315215;0.0328527410749771;0.0300600160227868;0.164052395095153
"19";"Dev_MaxLS";0;"Elevation";-0.0528532625007426;-0.0525471948690151;0.0168504732410843;-0.0831791449481657;-0.0184806303631377
"20";"Dev_MaxLS";0;"MAT";-0.0827639060553331;-0.082605920081882;0.0216851461996869;-0.125155659929417;-0.0389577945944145
"21";"Dev_MaxLS";0.037;"MAT2";0.0426674071851977;0.0427067118408848;0.0252343030543356;-0.00787845496857438;0.0917330198963519
"22";"Woody";0.08;"(Intercept)";0.215263232509607;0.219949616781021;0.131683097123473;-0.0184303812164922;0.495835266079102
"23";"Woody";0.006;"Aridity";-0.29626778791246;-0.291652031978015;0.107744803713194;-0.49505095024103;-0.0739805917185803
"24";"Woody";0;"I(Aridity^2)";-0.199722742851097;-0.200204015362724;0.0664886582811152;-0.331164498607604;-0.0709394138163038
"25";"Woody";0.006;"Grazing";0.0821698345158904;0.0819882383862827;0.0272779209198507;0.0291322652083436;0.137375368585861
"26";"Woody";0.066;"MAT";0.209683683661048;0.207865472216546;0.11016516743411;-0.0102029060460541;0.419594848632197
"27";"Woody";0.968;"I(MAT^2)";-0.00401252543059309;-0.00250528517234056;0.0696156779415816;-0.131495594078236;0.128901112968223
"28";"Woody";0.584;"Lattitude";0.0542787184747603;0.0529094440213975;0.0976809454843094;-0.136615373468266;0.253439591475847
"29";"Woody";0.068;"Long_cos";-0.175282164507106;-0.173138919365283;0.0932738755756158;-0.354234127904659;0.00767595426117585
"30";"Woody";0.744;"Long_sin";-0.0302247984021592;-0.0300605920360302;0.100362952975858;-0.225021359685387;0.1709582386515
"31";"Woody";0.256;"Elevation";-0.10083834727037;-0.102965864305817;0.0931231867628387;-0.285129840729538;0.0766296106256845
"32";"Struct_PC1";0;"Dev_MaxLS";0.24547575557822;0.245526019505777;0.0295947930547668;0.187694295270023;0.304792292345828
"33";"Struct_PC1";0;"CWM_MaxLS";0.484906208471545;0.485372884682251;0.0438042616604692;0.401876501390685;0.573363851533246
"34";"Struct_PC1";0.026;"Woody";0.0815051934914669;0.0818465444211835;0.042246645391794;-0.00438387420633954;0.163282008919369
"35";"Struct_PC1";0;"Lattitude";0.107735846096538;0.107523241151236;0.0358190012491593;0.0363900167236775;0.176980028215628
"36";"Struct_PC1";0.225;"Long_cos";0.0200743201087697;0.0198702540392464;0.0291393201139753;-0.0404756182947229;0.0731224086196551
"37";"Struct_PC1";0;"Long_sin";0.157046061701091;0.157231075340367;0.0355208550290146;0.0923018381253272;0.226700429637204
"38";"Struct_PC1";0;"Elevation";-0.0917414113382343;-0.0917281715871113;0.037974220244765;-0.165642794299214;-0.013992357053815
